day,hour,operation
1,05:08,команда создана в графане
1,05:08,команда создана
1,05:08,подписка для команды создана
1,05:08,зарегистрировался
1,06:33,команда создана в графане
1,06:33,команда создана
1,06:33,подписка для команды создана
1,06:33,зарегистрировался
1,09:02,команда создана в графане
1,09:02,команда создана
1,09:02,подписка для команды создана
1,09:02,зарегистрировался
1,09:16,запустил test
1,09:19,стартовал grafana
1,09:20,перешел в status FINISHED
1,09:27,запустил test
1,09:29,стартовал grafana
1,09:34,перешел в status TEST_STOPPING
1,09:34,перешел в status CANCELED
2,08:49,команда создана в графане
2,08:49,команда создана
2,08:49,зарегистрировался
2,08:49,подписка для команды создана
3,04:36,запустил test
3,04:36,перешел в status TEST_STOPPING
3,04:36,перешел в status CANCELED
3,11:48,команда создана в графане
3,11:48,подписка для команды создана
3,11:48,команда создана
3,11:48,зарегистрировался
4,12:02,запустил test
4,12:05,стартовал grafana
4,12:17,перешел в status FINISHED
4,12:28,запустил test
4,12:30,стартовал grafana
4,12:42,перешел в status FINISHED
4,09:22,запустил test
4,09:24,стартовал grafana
4,09:37,перешел в status FINISHED
5,07:35,команда создана в графане
5,07:35,подписка для команды создана
5,07:35,команда создана
5,07:35,зарегистрировался
6,12:13,команда создана в графане
6,12:13,команда создана
6,12:13,подписка для команды создана
6,12:13,зарегистрировался
6,11:50,запустил test
6,11:52,стартовал grafana
6,11:54,перешел в status FINISHED
7,02:14,обновил подписку
7,02:15,обновил подписку
8,12:21,запустил test
8,12:22,стартовал grafana
8,12:30,перешел в status FAILED
8,12:43,запустил test
8,12:44,стартовал grafana
8,12:52,перешел в status FAILED
8,12:57,запустил test
8,12:58,стартовал grafana
8,12:58,перешел в status FINISHED
8,01:34,запустил test
8,01:34,стартовал grafana
8,01:42,перешел в status FAILED
8,01:58,запустил test
8,01:58,стартовал grafana
8,02:09,перешел в status FAILED
8,02:12,запустил test
8,02:14,стартовал grafana
8,02:47,перешел в status FINISHED
8,03:19,запустил test
8,03:21,стартовал grafana
8,03:38,перешел в status TEST_STOPPING
8,03:38,перешел в status CANCELED
8,03:39,запустил test
8,03:39,стартовал grafana
8,03:53,перешел в status TEST_STOPPING
8,03:53,перешел в status CANCELED
8,03:53,запустил test
8,03:53,запустил test
8,03:53,стартовал grafana
8,03:53,стартовал grafana
8,04:01,перешел в status TEST_STOPPING
8,04:01,перешел в status CANCELED
8,04:02,запустил test
8,04:02,стартовал grafana
8,04:05,команда создана в графане
8,04:05,подписка для команды создана
8,04:05,команда создана
8,04:05,зарегистрировался
8,04:31,перешел в status FINISHED
8,04:38,перешел в status FINISHED
8,06:52,запустил test
8,06:55,стартовал grafana
8,07:03,перешел в status TEST_STOPPING
8,07:03,перешел в status CANCELED
8,07:33,запустил test
8,07:38,стартовал grafana
8,07:39,перешел в status TEST_STOPPING
8,07:39,перешел в status CANCELED
8,07:40,запустил test
8,07:44,стартовал grafana
8,07:46,перешел в status TEST_STOPPING
8,07:46,перешел в status CANCELED
8,07:52,запустил test
8,07:54,стартовал grafana
8,08:11,перешел в status TEST_STOPPING
8,08:11,перешел в status CANCELED
8,08:11,запустил test
8,08:12,стартовал grafana
8,08:47,перешел в status FINISHED
8,09:18,запустил test
8,09:20,стартовал grafana
8,09:38,перешел в status TEST_STOPPING
8,09:38,перешел в status CANCELED
8,09:39,запустил test
8,09:42,стартовал grafana
8,09:46,перешел в status TEST_STOPPING
8,09:46,перешел в status CANCELED
8,09:46,запустил test
8,09:47,стартовал grafana
8,09:53,перешел в status TEST_STOPPING
8,09:53,перешел в status CANCELED
8,10:04,запустил test
8,10:04,запустил test
8,10:04,стартовал grafana
8,10:04,запустил test
8,10:04,запустил test
8,10:04,стартовал grafana
8,10:05,стартовал grafana
8,10:06,стартовал grafana
8,10:11,перешел в status TEST_STOPPING
8,10:11,перешел в status CANCELED
8,10:11,перешел в status TEST_STOPPING
8,10:11,перешел в status CANCELED
8,10:11,перешел в status TEST_STOPPING
8,10:11,перешел в status CANCELED
8,10:12,перешел в status TEST_STOPPING
8,10:12,перешел в status CANCELED
8,10:14,запустил test
8,10:14,запустил test
